customer_id,signup_date,segment,region,plan,acquisition_channel,seats,mrr,tenure_days,monthly_active_days,support_tickets_90d,nps_score,feature_adoption_score,payment_failures_90d,is_churned,churn_date,as_of_date,lifetime_revenue,txn_count,last_txn_date,first_txn_date,avg_txn_amount,total_tickets,avg_resolve_hours,critical_tickets,days_since_last_txn,is_active,customer_health_score
C000001,2022-05-08,Enterprise,Europe,Business,Paid Search,328,481.39,1333,22.0,4,4.7,0.218,0,0,,2025-12-31,18044.84,38,2025-11-25,2022-07-23,474.86,4,9.8,0,36.0,1,55.7
C000002,2025-01-11,SMB,APAC,Free,Sales,14,0.0,354,14.0,1,30.3,0.355,1,0,,2025-12-31,17.939999999999998,9,2025-11-14,2025-01-20,1.99,2,11.6,0,47.0,0,57.7
C000003,2024-07-25,Startup,North America,Starter,Organic,4,58.02,524,22.0,3,64.1,0.658,0,0,,2025-12-31,617.74,11,2025-12-30,2024-09-03,56.16,4,11.1,0,1.0,1,76.3
C000004,2023-09-20,Startup,Europe,Business,Partner,2,422.13,833,5.0,0,88.3,0.343,0,0,,2025-12-31,6350.22,14,2025-12-10,2023-12-30,453.59,3,24.3,1,21.0,1,58.6
C000005,2023-09-12,Mid-Market,Europe,Pro,Paid Search,71,158.47,841,7.0,1,1.1,0.34,1,0,,2025-12-31,1211.72,9,2025-11-17,2024-01-19,134.64,3,12.9,0,44.0,1,48.1
C000006,2025-05-12,Enterprise,APAC,Free,Partner,320,0.0,233,2.0,0,43.3,0.634,0,0,,2025-12-31,7.96,5,2025-12-12,2025-09-12,1.59,0,0.0,0,19.0,0,60.1
C000007,2022-05-03,Startup,LATAM,Pro,Partner,4,135.81,1338,4.8,2,30.2,0.201,1,1,2025-06-04,2025-12-31,3106.35,23,2025-03-29,2022-07-14,135.06,3,22.3,0,277.0,0,43.3
C000008,2024-09-24,Startup,APAC,Pro,Organic,7,166.26,463,20.0,0,32.5,0.228,0,0,,2025-12-31,2682.73,15,2025-09-18,2024-10-21,178.85,0,0.0,0,104.0,1,62.9
C000009,2022-10-16,SMB,Europe,Business,Referral,14,392.69,1172,7.0,3,15.3,0.188,0,0,,2025-12-31,11090.210000000001,28,2025-12-18,2023-01-31,396.08,4,13.7,0,13.0,1,43.9
C000010,2022-05-15,SMB,Europe,Pro,Organic,22,166.24,1326,10.0,1,53.9,0.464,0,0,,2025-12-31,5869.02,34,2025-12-28,2022-05-29,172.62,1,15.0,0,3.0,1,61.7
