month,active_customers,mrr,arr,new_customers,new_mrr,churned_customers,churned_mrr,logo_churn_rate,net_new_mrr,mrr_growth_pct
2022-01,76,20527.57,246330.84,76,20527.57,0,0.0,0.0,20527.57,
2022-02,164,43629.86,523558.32,88,23102.29,0,0.0,0.0,23102.29,112.54
2022-03,265,74218.37,890620.44,101,30588.51,0,0.0,0.0,30588.51,70.11
2022-04,333,101448.28,1217379.36,68,27229.91,0,0.0,0.0,27229.91,36.69
2022-05,443,129333.06,1551996.72,111,27942.8,1,58.02,0.0023,27884.78,27.49
2022-06,545,165984.56,1991814.72,102,36651.5,1,0.0,0.0018,36651.5,28.34
2022-07,648,194647.47,2335769.64,103,28662.91,0,0.0,0.0,28662.91,17.27
2022-08,744,224310.95,2691731.4,97,30106.97,1,443.49,0.0013,29663.48,15.24
2022-09,835,248686.93,2984243.16,93,24481.8,2,105.82,0.0024,24375.98,10.87
2022-10,928,277185.08,3326220.96,93,28498.15,2,0.0,0.0022,28498.15,11.46
2022-11,1003,300407.48,3604889.76,75,23222.4,0,0.0,0.0,23222.4,8.38
2022-12,1101,333129.89,3997558.68,99,32861.62,2,139.21,0.0018,32722.41,10.89
2023-01,1193,366506.46,4398077.52,93,33423.43,3,46.86,0.0025,33376.57,10.02
2023-02,1277,399798.11,4797577.32,85,33342.73,1,51.08,0.0008,33291.65,9.08
2023-03,1369,426786.97,5121443.64,96,28874.54,4,1885.68,0.0029,26988.86,6.75
2023-04,1469,463400.73,5560808.76,102,37849.63,2,1235.87,0.0014,36613.76,8.58
2023-05,1546,484678.94,5816147.28,82,24541.17,5,3262.96,0.0032,21278.21,4.59
2023-06,1626,510503.12,6126037.44,83,25981.5,4,157.32,0.0025,25824.18,5.33
2023-07,1715,541280.0,6495360.0,90,30828.38,1,51.5,0.0006,30776.88,6.03
2023-08,1811,571368.59,6856423.08,99,30252.02,4,163.43,0.0022,30088.59,5.56
2023-09,1893,597687.34,7172248.08,85,26463.44,4,144.69,0.0021,26318.75,4.61
2023-10,2006,630812.4,7569748.8,114,33178.3,2,53.24,0.001,33125.06,5.54
2023-11,2085,652870.09,7834441.08,87,26440.09,12,4382.4,0.0057,22057.69,3.5
2023-12,2171,680440.55,8165286.6,93,30056.22,11,2485.76,0.005,27570.46,4.22
2024-01,2270,706497.39,8477968.68,100,26108.82,3,51.98,0.0013,26056.84,3.83
2024-02,2343,729602.22,8755226.64,78,23914.91,6,810.08,0.0026,23104.83,3.27
2024-03,2426,758021.72,9096260.64,90,29328.15,9,908.65,0.0037,28419.5,3.9
2024-04,2498,780991.48,9371897.76,76,23561.03,7,591.27,0.0028,22969.76,3.03
2024-05,2585,814334.29,9772011.48,91,33760.56,7,417.75,0.0027,33342.81,4.27
2024-06,2664,844603.59,10135243.08,85,31395.62,8,1126.32,0.003,30269.3,3.72
2024-07,2747,865432.34,10385188.08,86,21814.07,6,985.32,0.0022,20828.75,2.47
2024-08,2810,885821.06,10629852.72,71,23070.02,11,2681.3,0.0039,20388.72,2.36
2024-09,2862,900934.21,10811210.52,66,19375.45,20,4262.3,0.0069,15113.15,1.71
2024-10,2935,918092.61,11017111.32,83,20558.15,12,3399.75,0.0041,17158.4,1.9
2024-11,3018,948056.74,11376680.88,92,32009.06,13,2044.93,0.0043,29964.13,3.26
2024-12,3123,978292.88,11739514.56,116,34410.97,15,4174.83,0.0048,30236.14,3.19
2025-01,3207,1008592.05,12103104.6,102,34005.86,21,3706.69,0.0065,30299.17,3.1
2025-02,3274,1028297.6,12339571.2,81,23913.6,22,4208.05,0.0067,19705.55,1.95
2025-03,3334,1047113.94,12565367.28,74,23714.81,20,4898.47,0.006,18816.34,1.83
2025-04,3419,1076329.38,12915952.56,103,33072.01,24,3856.57,0.007,29215.44,2.79
2025-05,3498,1103443.0,13241316.0,96,32472.67,24,5359.05,0.0068,27113.62,2.52
2025-06,3549,1120066.16,13440793.92,71,21519.05,29,4895.89,0.0081,16623.16,1.51
2025-07,3610,1135800.15,13629601.8,82,20795.93,29,5061.94,0.008,15733.99,1.4
2025-08,3702,1158031.85,13896382.2,114,26275.26,29,4043.56,0.0078,22231.7,1.96
2025-09,3748,1167325.73,14007908.76,82,23893.08,43,14599.2,0.0113,9293.88,0.8
2025-10,3812,1190179.14,14282149.68,100,32087.13,46,9233.72,0.0119,22853.41,1.96
2025-11,3875,1212341.92,14548103.04,102,27727.76,59,5564.98,0.015,22162.78,1.86
2025-12,3813,1199770.19,14397242.28,0,0.0,83,12571.73,0.0213,-12571.73,-1.04
