txn_month,product,revenue,txn_count,customers
2022-01,API Access,300.26,1,1
2022-01,Analytics Add-on,29.72,3,3
2022-01,Core Platform,2818.56,16,12
2022-01,Storage Pack,1413.06,3,3
2022-01,Support Plus,500.57,5,5
2022-02,API Access,1655.84,11,11
2022-02,Analytics Add-on,2110.37,12,12
2022-02,Core Platform,8110.62,35,32
2022-02,Storage Pack,3158.58,15,14
2022-02,Support Plus,2580.89,12,12
2022-03,API Access,3480.44,19,17
2022-03,Analytics Add-on,4833.16,21,21
2022-03,Core Platform,13710.92,78,65
2022-03,Storage Pack,6823.98,22,22
2022-03,Support Plus,1789.12,12,12
2022-04,API Access,4236.81,27,27
2022-04,Analytics Add-on,9204.37,37,36
2022-04,Core Platform,23100.43,96,87
2022-04,Storage Pack,6387.78,32,32
2022-04,Support Plus,5826.7,29,27
2022-05,API Access,12910.24,53,53
2022-05,Analytics Add-on,11496.17,53,51
2022-05,Core Platform,37824.89,145,122
2022-05,Storage Pack,15084.4,45,45
2022-05,Support Plus,10817.43,40,39
2022-06,API Access,8257.49,54,54
2022-06,Analytics Add-on,13659.71,56,55
2022-06,Core Platform,39439.38,163,143
2022-06,Storage Pack,15042.92,46,45
2022-06,Support Plus,12042.52,43,42
2022-07,API Access,21811.58,81,79
2022-07,Analytics Add-on,17640.24,53,52
2022-07,Core Platform,58405.49,186,164
2022-07,Storage Pack,18560.3,64,59
2022-07,Support Plus,16263.69,59,55
2022-08,API Access,14713.87,61,58
2022-08,Analytics Add-on,19859.31,73,71
2022-08,Core Platform,52970.54,212,189
2022-08,Storage Pack,21920.66,76,75
2022-08,Support Plus,22044.31,80,78
2022-09,API Access,27449.15,97,96
2022-09,Analytics Add-on,28778.3,88,84
2022-09,Core Platform,58675.75,241,210
2022-09,Storage Pack,18751.62,73,67
2022-09,Support Plus,15877.83,70,68
2022-10,API Access,20283.4,92,87
2022-10,Analytics Add-on,18989.72,110,105
2022-10,Core Platform,78994.61,296,249
2022-10,Storage Pack,24413.5,78,73
2022-10,Support Plus,14947.84,61,58
2022-11,API Access,23029.75,104,97
2022-11,Analytics Add-on,32880.81,106,100
2022-11,Core Platform,81353.33,300,264
2022-11,Storage Pack,26141.64,77,77
2022-11,Support Plus,17885.88,75,72
2022-12,API Access,31413.5,129,123
2022-12,Analytics Add-on,23155.59,103,101
2022-12,Core Platform,93427.52,350,303
2022-12,Storage Pack,25799.33,104,98
2022-12,Support Plus,26648.47,88,86
2023-01,API Access,46138.75,120,116
2023-01,Analytics Add-on,33989.34,124,120
2023-01,Core Platform,102152.53,382,342
2023-01,Storage Pack,36120.37,120,114
2023-01,Support Plus,32844.46,103,100
2023-02,API Access,27692.09,132,123
2023-02,Analytics Add-on,33371.52,128,121
2023-02,Core Platform,103324.21,382,340
2023-02,Storage Pack,23738.32,88,85
2023-02,Support Plus,37168.41,97,95
2023-03,API Access,46488.31,138,130
2023-03,Analytics Add-on,42449.56,148,143
2023-03,Core Platform,112001.41,424,384
2023-03,Storage Pack,40442.9,138,134
2023-03,Support Plus,30886.38,123,118
2023-04,API Access,55274.26,161,149
