cohort_month,months_since_signup,revenue,paying_customers,txn_count,cohort_size,revenue_per_customer
2022-01,0,5062.17,20,28,93,54.43
2022-01,1,11799.21,46,52,93,126.87
2022-01,2,10923.61,40,55,93,117.46
2022-01,3,9767.39,44,56,93,105.03
2022-01,4,13384.85,46,64,93,143.92
2022-01,5,13010.91,48,59,93,139.9
2022-01,6,12210.97,41,59,93,131.3
2022-01,7,8655.31,40,50,93,93.07
2022-01,8,9607.55,41,56,93,103.31
2022-01,9,14686.95,41,56,93,157.92
2022-01,10,18285.86,35,51,93,196.62
2022-01,11,14760.57,39,51,93,158.72
2022-01,12,17382.69,49,61,93,186.91
2022-01,13,13000.64,45,55,93,139.79
2022-01,14,16414.88,44,57,93,176.5
2022-01,15,15831.13,45,60,93,170.23
2022-01,16,6670.86,41,49,93,71.73
2022-01,17,15432.26,39,49,93,165.94
2022-01,18,11242.36,45,71,93,120.89
2022-01,19,11231.75,47,65,93,120.77
2022-01,20,18921.49,51,74,93,203.46
2022-01,21,16166.45,36,53,93,173.83
2022-01,22,9961.82,42,52,93,107.12
2022-01,23,12264.07,50,72,93,131.87
2022-01,24,15992.85,47,76,93,171.97
2022-01,25,12559.92,46,60,93,135.05
2022-01,26,14237.31,42,59,93,153.09
2022-01,27,12018.83,38,53,93,129.23
2022-01,28,6597.61,29,35,93,70.94
2022-01,29,7776.71,34,39,93,83.62
2022-01,30,7127.36,46,54,93,76.64
2022-01,31,8672.15,41,61,93,93.25
2022-01,32,12084.48,39,51,93,129.94
2022-01,33,13599.07,45,59,93,146.23
2022-01,34,12020.9,43,58,93,129.26
2022-01,35,14591.28,32,42,93,156.9
2022-01,36,12096.8,46,62,93,130.07
2022-01,37,10158.28,36,49,93,109.23
2022-01,38,19430.32,42,66,93,208.93
2022-01,39,7565.18,41,47,93,81.35
2022-01,40,17414.69,39,57,93,187.25
2022-01,41,16295.9,53,69,93,175.22
2022-01,42,9241.48,43,59,93,99.37
2022-01,43,9006.24,43,53,93,96.84
2022-01,44,10266.72,32,44,93,110.39
2022-01,45,14527.05,43,53,93,156.2
2022-01,46,6968.71,36,49,93,74.93
2022-01,47,15540.54,47,70,93,167.1
2022-02,0,5817.09,27,33,97,59.97
2022-02,1,11269.98,45,62,97,116.19
2022-02,2,9908.56,44,60,97,102.15
2022-02,3,21822.3,50,79,97,224.97
2022-02,4,12956.19,46,63,97,133.57
2022-02,5,19953.17,46,67,97,205.7
2022-02,6,14898.99,47,57,97,153.6
2022-02,7,9628.03,43,56,97,99.26
2022-02,8,9163.66,38,54,97,94.47
2022-02,9,15117.08,48,61,97,155.85
2022-02,10,14486.11,43,56,97,149.34
2022-02,11,15754.6,46,60,97,162.42
2022-02,12,12556.65,44,60,97,129.45
2022-02,13,16763.56,46,53,97,172.82
2022-02,14,15370.86,48,66,97,158.46
2022-02,15,19096.02,45,65,97,196.87
2022-02,16,14461.51,41,51,97,149.09
2022-02,17,15428.34,43,66,97,159.06
2022-02,18,13982.68,50,65,97,144.15
2022-02,19,8552.19,37,41,97,88.17
2022-02,20,18356.61,45,66,97,189.24
2022-02,21,16678.79,46,61,97,171.95
2022-02,22,11852.14,45,62,97,122.19
2022-02,23,13964.95,48,68,97,143.97
2022-02,24,19688.13,47,59,97,202.97
2022-02,25,10949.14,38,51,97,112.88
2022-02,26,17562.27,48,67,97,181.05
2022-02,27,12592.85,45,63,97,129.82
2022-02,28,16742.14,41,56,97,172.6
2022-02,29,16866.05,45,60,97,173.88
2022-02,30,11276.69,46,52,97,116.25
2022-02,31,21292.8,39,64,97,219.51
2022-02,32,23383.76,42,66,97,241.07
2022-02,33,12123.94,38,50,97,124.99
2022-02,34,10997.38,46,58,97,113.38
2022-02,35,14343.04,42,58,97,147.87
2022-02,36,10111.52,39,49,97,104.24
2022-02,37,10551.59,40,49,97,108.78
2022-02,38,10789.35,49,75,97,111.23
2022-02,39,12758.56,36,55,97,131.53
2022-02,40,16082.28,42,63,97,165.8
2022-02,41,12086.26,44,54,97,124.6
2022-02,42,15042.33,48,64,97,155.08
2022-02,43,11185.98,45,59,97,115.32
2022-02,44,11716.58,33,51,97,120.79
2022-02,45,8803.84,41,59,97,90.76
2022-02,46,8256.15,35,46,97,85.11
2022-03,0,8444.03,28,35,112,75.39
2022-03,1,21847.47,55,75,112,195.07
2022-03,2,17438.6,60,79,112,155.7
2022-03,3,17850.99,49,61,112,159.38
2022-03,4,18761.6,51,73,112,167.51
2022-03,5,23801.94,61,74,112,212.52
2022-03,6,18240.78,51,68,112,162.86
2022-03,7,13847.86,47,66,112,123.64
2022-03,8,21356.7,46,59,112,190.68
2022-03,9,22905.84,54,76,112,204.52
2022-03,10,27584.4,65,88,112,246.29
2022-03,11,16607.64,49,60,112,148.28
2022-03,12,17578.92,54,72,112,156.95
2022-03,13,24527.81,53,71,112,219.0
2022-03,14,17628.55,51,66,112,157.4
2022-03,15,19485.72,48,66,112,173.98
