segment,region,plan,customers,active_customers,churned,total_mrr,avg_mrr,avg_health,avg_nps,lifetime_revenue,churn_rate
Enterprise,APAC,Business,28,26,2,12627.1,450.97,59.7,37.0,169491.25,0.0714
Enterprise,APAC,Enterprise,14,11,3,18051.5,1289.39,58.7,24.3,282862.23,0.2143
Enterprise,APAC,Free,24,0,6,0.0,0.0,60.3,34.9,1481.77,0.25
Enterprise,APAC,Pro,40,38,2,6722.7,168.07,60.6,32.0,104884.27,0.05
Enterprise,APAC,Starter,47,34,13,2574.64,54.78,58.4,32.9,33987.51,0.2766
Enterprise,Europe,Business,25,22,3,11108.8,444.35,60.3,34.2,180911.86,0.12
Enterprise,Europe,Enterprise,11,11,0,14857.7,1350.7,59.0,38.6,184620.69,0.0
Enterprise,Europe,Free,24,0,4,0.0,0.0,61.7,30.2,1855.37,0.1667
Enterprise,Europe,Pro,52,48,4,8690.69,167.13,59.8,29.0,116442.18,0.0769
Enterprise,Europe,Starter,53,41,12,2916.24,55.02,59.8,30.1,39706.85,0.2264
Enterprise,LATAM,Business,11,10,1,4856.83,441.53,58.0,35.1,68585.92,0.0909
Enterprise,LATAM,Enterprise,7,6,1,9818.73,1402.68,55.9,44.5,137211.26,0.1429
Enterprise,LATAM,Free,7,0,4,0.0,0.0,54.8,29.1,414.0,0.5714
Enterprise,LATAM,Pro,15,13,2,2452.06,163.47,56.4,33.2,31002.75,0.1333
Enterprise,LATAM,Starter,16,13,3,837.86,52.37,59.5,32.4,10916.24,0.1875
Enterprise,North America,Business,50,46,4,22598.09,451.96,61.8,41.1,348351.74,0.08
Enterprise,North America,Enterprise,21,21,0,28083.47,1337.31,58.4,28.1,443057.99,0.0
Enterprise,North America,Free,28,0,5,0.0,0.0,58.1,42.0,2569.33,0.1786
Enterprise,North America,Pro,54,51,3,8827.27,163.47,60.2,32.7,152291.83,0.0556
Enterprise,North America,Starter,71,60,11,3877.66,54.61,59.8,32.9,54666.89,0.1549
Mid-Market,APAC,Business,47,44,3,19992.17,425.37,61.2,36.5,300863.97,0.0638
Mid-Market,APAC,Enterprise,36,32,4,45657.47,1268.26,59.1,38.6,633722.53,0.1111
Mid-Market,APAC,Free,37,0,8,0.0,0.0,59.5,37.5,3235.3,0.2162
Mid-Market,APAC,Pro,89,79,10,14219.13,159.77,60.9,38.9,220907.61,0.1124
Mid-Market,APAC,Starter,95,83,12,4989.6,52.52,59.1,33.3,83907.33,0.1263
Mid-Market,Europe,Business,65,61,4,27894.58,429.15,60.4,38.2,438576.61,0.0615
Mid-Market,Europe,Enterprise,39,34,5,50765.5,1301.68,60.9,40.6,865379.5,0.1282
Mid-Market,Europe,Free,53,0,18,0.0,0.0,58.0,33.0,3270.79,0.3396
Mid-Market,Europe,Pro,130,122,8,20864.11,160.49,59.4,32.0,310890.88,0.0615
Mid-Market,Europe,Starter,112,93,19,5904.49,52.72,60.4,33.3,77215.27,0.1696
Mid-Market,LATAM,Business,21,19,2,9000.77,428.61,58.4,27.0,134308.46,0.0952
Mid-Market,LATAM,Enterprise,22,21,1,28234.54,1283.39,59.5,25.7,383565.98,0.0455
Mid-Market,LATAM,Free,21,0,5,0.0,0.0,56.1,37.6,1566.6,0.2381
Mid-Market,LATAM,Pro,36,36,0,5679.17,157.75,60.8,41.0,100663.02,0.0
Mid-Market,LATAM,Starter,50,41,9,2617.28,52.35,59.3,28.9,44473.53,0.18
Mid-Market,North America,Business,104,97,7,44491.14,427.8,59.9,37.1,621639.87,0.0673
Mid-Market,North America,Enterprise,54,51,3,70158.1,1299.22,58.5,28.6,1042305.06,0.0556
Mid-Market,North America,Free,93,0,19,0.0,0.0,60.5,38.4,7117.15,0.2043
Mid-Market,North America,Pro,165,151,14,26360.03,159.76,59.1,36.6,377778.56,0.0848
Mid-Market,North America,Starter,176,149,27,9336.44,53.05,60.2,34.9,136312.44,0.1534
SMB,APAC,Business,76,67,9,32135.13,422.83,61.4,33.3,484406.45,0.1184
SMB,APAC,Enterprise,46,43,3,58209.59,1265.43,60.4,29.2,895733.54,0.0652
SMB,APAC,Free,79,0,19,0.0,0.0,59.9,33.7,5736.12,0.2405
SMB,APAC,Pro,127,114,13,19705.66,155.16,60.4,31.6,299131.35,0.1024
SMB,APAC,Starter,103,93,10,5301.68,51.47,61.2,31.8,72097.98,0.0971
SMB,Europe,Business,105,95,10,44390.55,422.77,59.7,33.4,633966.9,0.0952
SMB,Europe,Enterprise,53,48,5,64904.47,1224.61,58.4,32.9,782648.85,0.0943
SMB,Europe,Free,88,0,14,0.0,0.0,59.4,37.5,6776.88,0.1591
SMB,Europe,Pro,141,130,11,22152.0,157.11,60.5,34.5,338125.62,0.078
SMB,Europe,Starter,169,146,23,8694.53,51.45,59.2,34.3,121807.59,0.1361
SMB,LATAM,Business,26,24,2,10907.42,419.52,60.5,43.5,148176.76,0.0769
SMB,LATAM,Enterprise,21,19,2,26615.86,1267.42,57.7,30.2,474407.3,0.0952
SMB,LATAM,Free,29,0,10,0.0,0.0,58.1,48.6,1972.44,0.3448
SMB,LATAM,Pro,52,48,4,8235.0,158.37,57.2,39.6,123757.76,0.0769
SMB,LATAM,Starter,75,63,12,3804.13,50.72,62.3,38.7,56651.17,0.16
SMB,North America,Business,144,137,7,60006.7,416.71,62.0,36.2,859216.41,0.0486
SMB,North America,Enterprise,85,73,12,105983.53,1246.87,59.0,36.4,1734316.79,0.1412
SMB,North America,Free,135,0,31,0.0,0.0,59.0,37.0,10292.79,0.2296
SMB,North America,Pro,219,206,13,34164.41,156.0,59.4,31.9,522536.93,0.0594
SMB,North America,Starter,233,192,41,12013.95,51.56,61.3,32.8,172219.47,0.176
Startup,APAC,Business,31,29,2,12909.26,416.43,59.8,41.5,187606.57,0.0645
Startup,APAC,Enterprise,32,31,1,37826.86,1182.09,58.6,38.3,597324.29,0.0312
Startup,APAC,Free,29,0,4,0.0,0.0,59.6,32.2,1691.0,0.1379
Startup,APAC,Pro,72,62,10,10961.96,152.25,60.6,37.6,161589.22,0.1389
Startup,APAC,Starter,57,50,7,2899.23,50.86,61.3,29.7,45032.7,0.1228
Startup,Europe,Business,56,51,5,23090.09,412.32,57.8,35.6,333128.91,0.0893
