customer_id,segment,region,plan,acquisition_channel,seats,mrr,tenure_days,monthly_active_days,support_tickets_90d,nps_score,feature_adoption_score,payment_failures_90d,lifetime_revenue,txn_count,total_tickets,customer_health_score,is_churned
C000001,Enterprise,Europe,Business,Paid Search,328,481.39,1333,22.0,4,4.7,0.218,0,18044.84,38,4,55.7,0
C000002,SMB,APAC,Free,Sales,14,0.0,354,14.0,1,30.3,0.355,1,17.939999999999998,9,2,57.7,0
C000003,Startup,North America,Starter,Organic,4,58.02,524,22.0,3,64.1,0.658,0,617.74,11,4,76.3,0
C000004,Startup,Europe,Business,Partner,2,422.13,833,5.0,0,88.3,0.343,0,6350.22,14,3,58.6,0
C000005,Mid-Market,Europe,Pro,Paid Search,71,158.47,841,7.0,1,1.1,0.34,1,1211.72,9,3,48.1,0
C000006,Enterprise,APAC,Free,Partner,320,0.0,233,2.0,0,43.3,0.634,0,7.96,5,0,60.1,0
C000007,Startup,LATAM,Pro,Partner,4,135.81,1338,4.8,2,30.2,0.201,1,3106.35,23,3,43.3,1
C000008,Startup,APAC,Pro,Organic,7,166.26,463,20.0,0,32.5,0.228,0,2682.73,15,0,62.9,0
C000009,SMB,Europe,Business,Referral,14,392.69,1172,7.0,3,15.3,0.188,0,11090.210000000001,28,4,43.9,0
C000010,SMB,Europe,Pro,Organic,22,166.24,1326,10.0,1,53.9,0.464,0,5869.02,34,1,61.7,0
C000011,SMB,Europe,Free,Referral,12,0.0,708,15.0,3,52.6,0.623,0,55.28,13,4,67.8,0
C000012,SMB,Europe,Starter,Organic,14,47.83,65,21.0,0,98.1,0.283,0,33.28,1,0,72.0,0
C000013,Enterprise,North America,Starter,Partner,103,57.88,408,8.0,1,2.0,0.42,1,318.46,6,2,51.4,0
C000014,Enterprise,APAC,Pro,Paid Search,377,185.56,372,13.0,2,-8.7,0.814,0,1950.7,10,3,67.2,0
C000015,Mid-Market,APAC,Pro,Partner,52,164.24,435,5.0,2,86.4,0.449,0,2288.16,14,2,58.6,0
C000016,Startup,Europe,Business,Organic,4,453.66,336,22.0,0,33.7,0.615,0,4505.59,10,1,76.5,0
C000017,Mid-Market,APAC,Pro,Partner,78,178.54,727,24.0,0,23.6,0.339,0,3562.86,19,1,69.0,0
C000018,Mid-Market,Europe,Starter,Organic,46,48.7,1277,20.0,0,39.7,0.127,0,1535.1,31,0,60.6,0
C000019,SMB,North America,Free,Paid Search,6,0.0,260,22.0,0,0.1,0.427,0,53.230000000000004,12,0,67.5,0
C000020,Mid-Market,North America,Starter,Referral,64,60.95,816,7.9,1,44.4,0.325,1,399.28,7,2,52.7,1
C000021,Mid-Market,North America,Starter,Paid Search,72,47.06,745,23.0,0,33.0,0.564,0,551.18,13,1,75.8,0
C000022,SMB,North America,Pro,Paid Search,19,164.87,930,12.0,1,61.8,0.64,1,4531.11,29,1,67.6,0
C000023,Mid-Market,Europe,Enterprise,Partner,35,1234.6,1199,5.0,2,56.4,0.544,0,38738.95,31,2,58.4,0
C000024,SMB,North America,Starter,Paid Search,19,50.19,135,26.0,2,58.5,0.295,1,136.83,3,2,67.9,0
C000025,Startup,North America,Pro,Referral,3,132.94,343,0.0,0,39.8,0.078,1,1139.75,9,2,39.3,0
C000026,Mid-Market,North America,Starter,Paid Search,31,48.95,540,3.8,0,75.1,0.238,1,188.61,4,0,51.0,1
