customer_id,signup_date,segment,region,plan,acquisition_channel,seats,mrr,tenure_days,monthly_active_days,support_tickets_90d,nps_score,feature_adoption_score,payment_failures_90d,is_churned,churn_date,as_of_date
C000001,2022-05-08,Enterprise,Europe,Business,Paid Search,328,174.64,1333,22.0,4,4.7,0.218,0,0,,2025-12-31
C000002,2025-01-11,SMB,APAC,Free,Sales,14,0.0,354,14.0,1,30.3,0.355,1,0,,2025-12-31
C000003,2024-07-25,Startup,North America,Starter,Organic,4,24.69,524,22.0,3,64.1,0.658,0,0,,2025-12-31
C000004,2023-09-20,Startup,Europe,Business,Partner,2,223.92,833,5.0,0,88.3,0.343,0,0,,2025-12-31
C000005,2023-09-12,Mid-Market,Europe,Pro,Paid Search,71,70.25,841,7.0,1,1.1,0.34,1,0,,2025-12-31
C000006,2025-05-12,Enterprise,APAC,Free,Partner,320,0.0,233,2.0,0,43.3,0.634,0,0,,2025-12-31
C000007,2022-05-03,Startup,LATAM,Pro,Partner,4,73.52,1338,18.0,2,30.2,0.201,1,1,2025-07-27,2025-12-31
C000008,2024-09-24,Startup,APAC,Pro,Organic,7,75.13,463,20.0,0,32.5,0.228,0,0,,2025-12-31
C000009,2022-10-16,SMB,Europe,Business,Referral,14,213.05,1172,7.0,3,15.3,0.188,0,0,,2025-12-31
C000010,2022-05-15,SMB,Europe,Pro,Organic,22,88.44,1326,10.0,1,53.9,0.464,0,0,,2025-12-31
C000011,2024-01-23,SMB,Europe,Free,Referral,12,0.0,708,15.0,3,52.6,0.623,0,0,,2025-12-31
C000012,2025-10-27,SMB,Europe,Starter,Organic,14,26.84,65,21.0,0,98.1,0.283,0,0,,2025-12-31
C000013,2024-11-18,Enterprise,North America,Starter,Partner,103,27.09,408,8.0,1,2.0,0.42,1,0,,2025-12-31
C000014,2024-12-24,Enterprise,APAC,Pro,Paid Search,377,87.91,372,13.0,2,-8.7,0.814,0,0,,2025-12-31
C000015,2024-10-22,Mid-Market,APAC,Pro,Partner,52,68.43,435,5.0,2,86.4,0.449,0,0,,2025-12-31
C000016,2025-01-29,Startup,Europe,Business,Organic,4,195.09,336,22.0,0,33.7,0.615,0,0,,2025-12-31
C000017,2024-01-04,Mid-Market,APAC,Pro,Partner,78,72.38,727,24.0,0,23.6,0.339,0,0,,2025-12-31
C000018,2022-07-03,Mid-Market,Europe,Starter,Organic,46,27.75,1277,20.0,0,39.7,0.127,0,0,,2025-12-31
C000019,2025-04-15,SMB,North America,Free,Paid Search,6,0.0,260,22.0,0,0.1,0.427,0,0,,2025-12-31
C000020,2023-10-07,Mid-Market,North America,Starter,Referral,64,31.44,816,21.0,1,44.4,0.325,1,1,2025-03-15,2025-12-31
C000021,2023-12-17,Mid-Market,North America,Starter,Paid Search,72,26.84,745,23.0,0,33.0,0.564,0,0,,2025-12-31
C000022,2023-06-15,SMB,North America,Pro,Paid Search,19,88.5,930,12.0,1,61.8,0.64,1,0,,2025-12-31
C000023,2022-09-19,Mid-Market,Europe,Enterprise,Partner,35,5939.47,1199,5.0,2,56.4,0.544,0,0,,2025-12-31
C000024,2025-08-18,SMB,North America,Starter,Paid Search,19,27.2,135,26.0,2,58.5,0.295,1,0,,2025-12-31
C000025,2025-01-22,Startup,North America,Pro,Referral,3,68.7,343,0.0,0,39.8,0.078,1,0,,2025-12-31
C000026,2024-07-09,Mid-Market,North America,Starter,Paid Search,31,26.15,540,11.0,0,75.1,0.238,1,1,2025-03-02,2025-12-31
C000027,2023-07-30,Startup,APAC,Pro,Sales,7,79.49,885,20.0,1,49.4,0.204,0,1,2025-04-13,2025-12-31
C000028,2025-03-22,Startup,APAC,Free,Referral,4,0.0,284,22.0,1,21.7,0.307,1,0,,2025-12-31
C000029,2024-02-19,Startup,North America,Pro,Paid Search,1,76.25,681,19.0,0,14.8,0.085,0,0,,2025-12-31
C000030,2023-09-27,SMB,North America,Starter,Paid Search,17,28.13,826,13.0,2,17.6,0.257,0,0,,2025-12-31
C000031,2023-10-07,SMB,North America,Starter,Partner,12,32.61,816,25.0,0,49.7,0.285,1,0,,2025-12-31
C000032,2022-11-21,SMB,North America,Pro,Referral,13,77.26,1136,6.0,2,1.7,0.252,0,0,,2025-12-31
C000033,2022-05-12,SMB,North America,Starter,Organic,16,26.13,1329,3.0,0,38.9,0.398,1,0,,2025-12-31
C000034,2024-03-04,Enterprise,North America,Pro,Organic,82,71.48,667,17.0,1,14.2,0.508,0,0,,2025-12-31
C000035,2025-06-23,Startup,North America,Starter,Organic,5,32.05,191,8.0,0,3.7,0.418,0,0,,2025-12-31
C000036,2022-04-02,SMB,LATAM,Enterprise,Referral,4,635.35,1369,13.0,1,7.7,0.318,0,0,,2025-12-31
C000037,2025-05-12,SMB,Europe,Starter,Referral,18,31.47,233,12.0,1,34.4,0.474,0,0,,2025-12-31
C000038,2025-03-29,Mid-Market,APAC,Pro,Organic,20,80.72,277,7.0,1,54.1,0.471,2,0,,2025-12-31
C000039,2023-01-31,Enterprise,North America,Business,Paid Search,486,181.68,1065,27.0,0,18.1,0.101,2,0,,2025-12-31
C000040,2024-06-22,SMB,North America,Pro,Referral,20,73.05,557,10.0,2,-16.9,0.31,0,0,,2025-12-31
C000041,2022-08-25,SMB,LATAM,Starter,Sales,22,25.84,1224,18.0,0,100.0,0.182,0,0,,2025-12-31
C000042,2024-12-20,SMB,North America,Pro,Organic,4,69.54,376,4.0,3,62.9,0.174,0,0,,2025-12-31
C000043,2024-09-28,Mid-Market,Europe,Free,Paid Search,79,0.0,459,27.0,0,58.3,0.205,0,0,,2025-12-31
