event_id,customer_id,opened_at,resolved_at,sla_due_at,status,reason,category,priority,channel,csat,resolved_hours,within_sla,created_at
E00000001,C000001,2025-07-02 06:51:00,2025-07-02 23:14:32,2025-07-04 06:51:00,resolved,Bug,Bug,medium,chat,4,16.4,True,2025-07-02
E00000002,C000001,2025-12-28 15:29:00,2025-12-31 09:34:08,2025-12-31 15:29:00,resolved,Billing,Billing,low,portal,5,66.1,True,2025-12-28
E00000003,C000001,2024-05-12 15:20:00,2024-05-12 19:17:56,2024-05-12 23:20:00,resolved,Bug,Bug,critical,portal,5,4.0,True,2024-05-12
E00000004,C000001,2024-07-14 03:18:00,2024-07-14 07:40:56,2024-07-16 03:18:00,resolved,How-to,How-to,medium,portal,3,4.4,True,2024-07-14
E00000005,C000002,2025-01-24 08:37:00,2025-01-26 06:47:36,2025-01-25 08:37:00,resolved,Billing,Billing,high,email,2,46.2,False,2025-01-24
E00000006,C000002,2025-11-23 15:37:00,,2025-11-25 15:37:00,pending,Bug,Bug,medium,email,,,,2025-11-23
E00000007,C000003,2025-08-10 22:56:00,2025-08-15 12:02:52,2025-08-12 22:56:00,resolved,Feature Request,Feature Request,medium,chat,2,109.1,False,2025-08-10
E00000008,C000003,2025-11-29 16:04:00,2025-12-01 02:03:40,2025-11-30 16:04:00,resolved,Feature Request,Feature Request,high,chat,2,34.0,False,2025-11-29
E00000009,C000003,2025-11-30 18:26:00,2025-12-02 20:31:23,2025-12-03 18:26:00,resolved,Feature Request,Feature Request,low,email,3,50.1,True,2025-11-30
E00000010,C000003,2025-09-09 20:23:00,2025-09-10 15:59:52,2025-09-11 20:23:00,resolved,Billing,Billing,medium,portal,5,19.6,True,2025-09-09
E00000011,C000003,2025-11-26 13:16:00,2025-11-30 02:44:01,2025-11-28 13:16:00,resolved,Bug,Bug,medium,phone,2,85.5,False,2025-11-26
E00000012,C000004,2024-02-16 13:41:00,2024-02-18 08:41:32,2024-02-17 13:41:00,resolved,How-to,How-to,high,email,1,43.0,False,2024-02-16
