transaction_id,customer_id,txn_date,product,amount,currency,status,billing_period
T00000001,C000001,2023-03-13,Storage Pack,323.99,USD,succeeded,monthly
T00000002,C000001,2025-03-07,Support Plus,392.43,USD,succeeded,monthly
T00000003,C000001,2025-04-13,Analytics Add-on,616.83,USD,succeeded,annual
T00000004,C000001,2024-01-17,Support Plus,437.54,USD,succeeded,monthly
T00000005,C000001,2022-10-20,Support Plus,652.18,USD,succeeded,monthly
T00000006,C000001,2024-05-19,API Access,408.91,USD,succeeded,monthly
T00000007,C000001,2025-05-05,Core Platform,349.13,USD,succeeded,annual
T00000008,C000001,2024-08-27,Support Plus,617.06,USD,succeeded,monthly
T00000009,C000001,2023-06-01,API Access,412.03,USD,succeeded,monthly
T00000010,C000001,2023-03-03,Core Platform,-527.85,USD,refunded,monthly
T00000011,C000001,2022-11-03,API Access,483.2,USD,succeeded,annual
T00000012,C000001,2022-11-26,Core Platform,388.01,USD,succeeded,monthly
T00000013,C000001,2025-05-21,Analytics Add-on,441.09,USD,succeeded,monthly
T00000014,C000001,2022-09-20,Storage Pack,649.42,USD,succeeded,monthly
T00000015,C000001,2024-02-06,API Access,483.31,USD,succeeded,monthly
T00000016,C000001,2023-10-22,Storage Pack,393.45,USD,succeeded,monthly
T00000017,C000001,2023-08-23,Analytics Add-on,563.96,USD,succeeded,monthly
T00000018,C000001,2024-12-31,API Access,314.75,USD,failed,monthly
T00000019,C000001,2023-10-11,API Access,551.62,USD,succeeded,annual
T00000020,C000001,2023-05-31,Storage Pack,465.42,USD,succeeded,monthly
T00000021,C000001,2022-07-28,Support Plus,336.54,USD,succeeded,monthly
T00000022,C000001,2023-06-20,Core Platform,630.67,USD,failed,monthly
T00000023,C000001,2022-11-12,API Access,460.28,USD,succeeded,annual
T00000024,C000001,2025-11-25,Core Platform,424.07,USD,succeeded,monthly
T00000025,C000001,2023-03-30,Core Platform,512.54,USD,failed,monthly
T00000026,C000001,2024-07-27,Core Platform,334.1,USD,succeeded,monthly
T00000027,C000001,2022-09-16,Storage Pack,439.7,USD,succeeded,annual
T00000028,C000001,2024-09-21,API Access,536.85,USD,succeeded,monthly
T00000029,C000001,2025-07-27,Core Platform,544.41,USD,succeeded,annual
T00000030,C000001,2022-09-16,Core Platform,532.81,USD,succeeded,monthly
T00000031,C000001,2025-04-26,Core Platform,485.92,USD,succeeded,monthly
T00000032,C000001,2025-06-11,Core Platform,586.04,USD,succeeded,annual
T00000033,C000001,2025-07-05,Support Plus,662.44,USD,succeeded,monthly
T00000034,C000001,2025-04-24,Core Platform,629.75,USD,succeeded,monthly
T00000035,C000001,2024-04-11,API Access,548.05,USD,succeeded,annual
T00000036,C000001,2022-07-23,Core Platform,334.21,USD,succeeded,monthly
T00000037,C000001,2022-09-07,Core Platform,336.05,USD,failed,monthly
T00000038,C000001,2025-11-02,Core Platform,291.36,USD,succeeded,monthly
T00000039,C000001,2023-07-20,API Access,305.36,USD,succeeded,monthly
T00000040,C000001,2025-07-03,Core Platform,563.55,USD,succeeded,monthly
T00000041,C000001,2024-07-26,Support Plus,458.84,USD,succeeded,annual
T00000042,C000001,2024-09-29,Support Plus,432.31,USD,succeeded,monthly
T00000043,C000001,2022-11-11,Analytics Add-on,508.67,USD,succeeded,monthly
T00000044,C000002,2025-11-14,Core Platform,0.0,USD,succeeded,annual
T00000045,C000002,2025-03-13,Core Platform,0.0,USD,succeeded,annual
T00000046,C000002,2025-08-13,API Access,5.6,USD,succeeded,monthly
T00000047,C000002,2025-07-19,Core Platform,0.0,USD,succeeded,monthly
T00000048,C000002,2025-02-24,Core Platform,0.0,USD,succeeded,monthly
T00000049,C000002,2025-05-16,Core Platform,0.0,USD,succeeded,monthly
T00000050,C000002,2025-03-06,Core Platform,0.0,USD,succeeded,monthly
T00000051,C000002,2025-08-22,Analytics Add-on,12.34,USD,succeeded,monthly
T00000052,C000002,2025-01-20,Core Platform,0.0,USD,succeeded,monthly
T00000053,C000003,2025-02-10,Core Platform,43.43,USD,succeeded,monthly
T00000054,C000003,2025-12-30,Analytics Add-on,40.02,USD,succeeded,monthly
T00000055,C000003,2025-06-17,Core Platform,-37.93,USD,refunded,monthly
T00000056,C000003,2025-12-12,Analytics Add-on,74.54,USD,succeeded,monthly
T00000057,C000003,2025-10-15,Analytics Add-on,45.22,USD,succeeded,annual
T00000058,C000003,2024-09-03,Core Platform,59.37,USD,succeeded,monthly
T00000059,C000003,2025-02-16,Analytics Add-on,72.65,USD,succeeded,annual
T00000060,C000003,2025-08-05,Support Plus,75.54,USD,succeeded,monthly
T00000061,C000003,2025-09-02,Support Plus,62.37,USD,succeeded,monthly
T00000062,C000003,2024-11-05,Support Plus,44.73,USD,succeeded,monthly
T00000063,C000003,2025-01-30,Core Platform,-64.66,USD,refunded,monthly
T00000064,C000003,2025-10-27,Core Platform,36.21,USD,succeeded,monthly
T00000065,C000003,2025-06-23,Core Platform,63.66,USD,succeeded,monthly
T00000066,C000004,2023-12-30,Core Platform,560.97,USD,succeeded,monthly
T00000067,C000004,2024-11-07,Support Plus,497.75,USD,succeeded,monthly
T00000068,C000004,2024-01-18,Analytics Add-on,415.27,USD,succeeded,annual
T00000069,C000004,2025-08-18,Storage Pack,479.29,USD,succeeded,monthly
T00000070,C000004,2025-09-01,API Access,499.42,USD,succeeded,monthly
T00000071,C000004,2024-02-12,Core Platform,302.14,USD,succeeded,monthly
T00000072,C000004,2024-03-08,Storage Pack,427.76,USD,succeeded,monthly
T00000073,C000004,2025-07-27,Core Platform,386.01,USD,succeeded,monthly
T00000074,C000004,2024-08-19,API Access,569.24,USD,succeeded,monthly
T00000075,C000004,2025-12-10,Core Platform,441.82,USD,succeeded,annual
T00000076,C000004,2025-07-18,Core Platform,403.59,USD,succeeded,monthly
T00000077,C000004,2024-03-10,Analytics Add-on,448.84,USD,failed,annual
T00000078,C000004,2025-01-17,Core Platform,536.32,USD,succeeded,monthly
T00000079,C000004,2024-11-06,Core Platform,264.96,USD,succeeded,monthly
T00000080,C000004,2025-05-05,Core Platform,565.68,USD,succeeded,monthly
T00000081,C000005,2025-02-28,Storage Pack,115.29,USD,succeeded,monthly
T00000082,C000005,2025-11-17,API Access,98.45,USD,succeeded,monthly
T00000083,C000005,2024-04-09,Storage Pack,95.84,USD,succeeded,monthly
T00000084,C000005,2024-11-10,Analytics Add-on,108.96,USD,succeeded,monthly
T00000085,C000005,2025-05-07,Core Platform,117.45,USD,succeeded,monthly
T00000086,C000005,2025-06-05,Core Platform,149.69,USD,succeeded,annual
T00000087,C000005,2025-07-03,Core Platform,201.63,USD,succeeded,monthly
T00000088,C000005,2024-01-19,API Access,186.48,USD,succeeded,annual
T00000089,C000005,2024-10-06,Storage Pack,137.93,USD,succeeded,monthly
T00000090,C000006,2025-09-12,Core Platform,0.0,USD,succeeded,monthly
T00000091,C000006,2025-12-12,Core Platform,0.0,USD,succeeded,monthly
T00000092,C000006,2025-09-13,Core Platform,0.0,USD,succeeded,monthly
T00000093,C000006,2025-09-22,Analytics Add-on,7.96,USD,succeeded,monthly
T00000094,C000006,2025-09-25,Core Platform,0.0,USD,succeeded,monthly
T00000095,C000007,2023-09-14,Core Platform,-120.97,USD,refunded,annual
T00000096,C000007,2023-04-22,Core Platform,150.18,USD,succeeded,monthly
T00000097,C000007,2024-01-05,Core Platform,141.68,USD,succeeded,monthly
T00000098,C000007,2025-03-29,Analytics Add-on,90.71,USD,succeeded,monthly
T00000099,C000007,2023-11-03,API Access,153.91,USD,succeeded,monthly
T00000100,C000007,2023-01-12,Core Platform,141.19,USD,succeeded,annual
T00000101,C000007,2022-11-25,Core Platform,108.87,USD,succeeded,monthly
T00000102,C000007,2022-08-05,Analytics Add-on,113.58,USD,succeeded,monthly
T00000103,C000007,2022-07-23,Analytics Add-on,157.95,USD,succeeded,monthly
T00000104,C000007,2024-06-15,Core Platform,149.04,USD,succeeded,annual
T00000105,C000007,2024-11-29,Core Platform,85.0,USD,failed,monthly
T00000106,C000007,2024-02-20,Core Platform,136.44,USD,succeeded,annual
T00000107,C000007,2023-10-07,Support Plus,148.83,USD,succeeded,annual
T00000108,C000007,2023-09-21,Core Platform,88.48,USD,succeeded,annual
T00000109,C000007,2025-05-14,Core Platform,124.92,USD,failed,annual
T00000110,C000007,2022-09-30,Storage Pack,165.55,USD,succeeded,monthly
T00000111,C000007,2022-12-18,Storage Pack,130.02,USD,succeeded,annual
T00000112,C000007,2024-03-27,Core Platform,161.19,USD,succeeded,monthly
T00000113,C000007,2024-06-30,Core Platform,117.21,USD,succeeded,annual
T00000114,C000007,2024-02-05,Core Platform,87.57,USD,succeeded,monthly
T00000115,C000007,2023-09-25,Core Platform,162.63,USD,succeeded,monthly
T00000116,C000007,2022-07-14,Core Platform,141.89,USD,succeeded,monthly
T00000117,C000007,2022-12-27,Core Platform,172.8,USD,failed,monthly
T00000118,C000007,2024-02-07,Core Platform,116.51,USD,succeeded,monthly
T00000119,C000007,2022-09-21,Storage Pack,141.35,USD,succeeded,annual
T00000120,C000007,2022-09-23,Analytics Add-on,135.26,USD,succeeded,monthly
T00000121,C000007,2023-04-21,Core Platform,166.31,USD,succeeded,monthly
T00000122,C000008,2025-08-21,Analytics Add-on,159.72,USD,succeeded,monthly
T00000123,C000008,2025-08-01,Core Platform,207.46,USD,succeeded,monthly
T00000124,C000008,2025-01-16,Core Platform,178.38,USD,succeeded,monthly
T00000125,C000008,2025-12-23,Storage Pack,198.89,USD,failed,annual
T00000126,C000008,2025-09-15,Core Platform,152.92,USD,succeeded,monthly
T00000127,C000008,2025-04-06,Core Platform,222.27,USD,succeeded,monthly
T00000128,C000008,2025-09-02,Support Plus,190.72,USD,succeeded,annual
T00000129,C000008,2025-09-18,Core Platform,208.13,USD,succeeded,monthly
T00000130,C000008,2025-04-19,Core Platform,218.59,USD,succeeded,monthly
T00000131,C000008,2025-08-30,Support Plus,120.8,USD,succeeded,annual
T00000132,C000008,2024-10-21,API Access,153.23,USD,succeeded,annual
T00000133,C000008,2025-06-04,Storage Pack,107.93,USD,succeeded,monthly
T00000134,C000008,2025-06-23,Core Platform,186.07,USD,succeeded,monthly
T00000135,C000008,2025-05-14,Core Platform,215.78,USD,succeeded,monthly
T00000136,C000008,2024-11-11,Support Plus,193.11,USD,succeeded,annual
T00000137,C000008,2025-05-11,Support Plus,167.62,USD,succeeded,monthly
T00000138,C000009,2025-08-28,API Access,510.55,USD,succeeded,monthly
T00000139,C000009,2025-12-18,API Access,438.12,USD,succeeded,monthly
T00000140,C000009,2025-02-03,Support Plus,517.49,USD,succeeded,monthly
T00000141,C000009,2024-04-23,Support Plus,496.61,USD,succeeded,monthly
