txn_month,product,revenue,txn_count,customers
2022-01,API Access,640.36,7,7
2022-01,Analytics Add-on,213.25,3,3
2022-01,Core Platform,1438.68,14,14
2022-01,Storage Pack,67.92,2,1
2022-01,Support Plus,367.89,4,4
2022-02,API Access,638.13,12,12
2022-02,Analytics Add-on,9856.83,12,12
2022-02,Core Platform,4595.91,35,33
2022-02,Storage Pack,1598.38,13,12
2022-02,Support Plus,11899.05,12,10
2022-03,API Access,4139.76,26,24
2022-03,Analytics Add-on,4273.75,22,21
2022-03,Core Platform,24628.78,71,61
2022-03,Storage Pack,4595.94,26,24
2022-03,Support Plus,5864.31,23,23
2022-04,API Access,12197.96,47,43
2022-04,Analytics Add-on,17718.05,27,27
2022-04,Core Platform,25438.05,98,79
2022-04,Storage Pack,6874.8,21,21
2022-04,Support Plus,4990.39,24,24
2022-05,API Access,13850.51,49,46
2022-05,Analytics Add-on,13674.43,39,36
2022-05,Core Platform,47808.13,118,103
2022-05,Storage Pack,12674.75,36,34
2022-05,Support Plus,4527.06,26,25
2022-06,API Access,15177.78,59,52
2022-06,Analytics Add-on,70980.17,56,51
2022-06,Core Platform,54455.34,170,149
2022-06,Storage Pack,70532.97,60,55
2022-06,Support Plus,7102.2,40,39
2022-07,API Access,16998.17,70,67
2022-07,Analytics Add-on,54287.35,67,64
2022-07,Core Platform,72394.72,226,189
2022-07,Storage Pack,15746.57,47,47
2022-07,Support Plus,19162.85,57,55
2022-08,API Access,72551.75,76,74
2022-08,Analytics Add-on,25105.19,84,79
2022-08,Core Platform,150857.94,238,204
2022-08,Storage Pack,98114.13,60,57
2022-08,Support Plus,11145.05,52,49
2022-09,API Access,94360.1,85,81
2022-09,Analytics Add-on,109412.5,71,71
2022-09,Core Platform,269546.02,261,235
2022-09,Storage Pack,98869.59,76,75
2022-09,Support Plus,29177.58,67,66
2022-10,API Access,55822.73,93,88
2022-10,Analytics Add-on,50942.82,109,102
2022-10,Core Platform,92183.9,293,269
2022-10,Storage Pack,19507.89,70,69
2022-10,Support Plus,20906.93,67,65
2022-11,API Access,120130.38,101,96
2022-11,Analytics Add-on,42609.63,103,97
2022-11,Core Platform,172606.23,302,264
2022-11,Storage Pack,29889.09,83,77
2022-11,Support Plus,51470.65,87,84
2022-12,API Access,41639.92,116,114
2022-12,Analytics Add-on,191443.36,133,124
2022-12,Core Platform,92516.82,299,258
2022-12,Storage Pack,38463.28,126,123
2022-12,Support Plus,38112.66,100,93
2023-01,API Access,105547.69,119,116
2023-01,Analytics Add-on,126943.89,155,139
2023-01,Core Platform,225239.11,398,350
2023-01,Storage Pack,62152.72,107,103
2023-01,Support Plus,49814.34,110,108
2023-02,API Access,46804.11,119,113
2023-02,Analytics Add-on,155398.11,137,131
2023-02,Core Platform,168955.24,333,304
2023-02,Storage Pack,70120.47,105,100
2023-02,Support Plus,19165.51,102,98
2023-03,API Access,190145.43,128,118
2023-03,Analytics Add-on,127457.1,144,135
2023-03,Core Platform,265565.29,432,383
2023-03,Storage Pack,62854.3,147,144
2023-03,Support Plus,34046.73,109,106
2023-04,API Access,238216.96,130,128
2023-04,Analytics Add-on,88660.19,169,161
2023-04,Core Platform,374886.98,441,387
2023-04,Storage Pack,30334.21,129,125
2023-04,Support Plus,97197.34,105,99
2023-05,API Access,152293.63,163,157
2023-05,Analytics Add-on,181846.46,155,150
2023-05,Core Platform,468878.47,496,441
2023-05,Storage Pack,55237.83,166,161
2023-05,Support Plus,79143.97,139,131
2023-06,API Access,150697.2,174,167
2023-06,Analytics Add-on,87253.11,174,170
2023-06,Core Platform,322586.1,515,456
2023-06,Storage Pack,81398.93,136,133
2023-06,Support Plus,108128.31,148,141
2023-07,API Access,207835.5,190,174
2023-07,Analytics Add-on,197036.03,189,180
2023-07,Core Platform,337661.56,571,496
2023-07,Storage Pack,55690.68,158,153
2023-07,Support Plus,60828.53,162,158
2023-08,API Access,73367.18,161,155
2023-08,Analytics Add-on,151105.71,197,187
2023-08,Core Platform,483565.22,566,485
2023-08,Storage Pack,102302.62,186,176
2023-08,Support Plus,81020.53,156,149
2023-09,API Access,180051.66,224,217
2023-09,Analytics Add-on,113733.58,199,189
2023-09,Core Platform,509192.37,611,528
2023-09,Storage Pack,104808.2,165,156
2023-09,Support Plus,133323.92,156,150
2023-10,API Access,343789.84,220,208
2023-10,Analytics Add-on,97933.3,214,204
2023-10,Core Platform,497279.7,653,563
2023-10,Storage Pack,186079.99,173,164
2023-10,Support Plus,312158.66,196,186
2023-11,API Access,115794.47,206,197
2023-11,Analytics Add-on,368830.87,258,243
2023-11,Core Platform,666271.02,697,599
2023-11,Storage Pack,231685.93,192,185
2023-11,Support Plus,138110.42,148,141
2023-12,API Access,125149.79,228,219
2023-12,Analytics Add-on,140705.35,239,232
2023-12,Core Platform,480113.07,789,688
2023-12,Storage Pack,150995.09,198,189
2023-12,Support Plus,95840.1,190,179
2024-01,API Access,240224.33,260,254
2024-01,Analytics Add-on,281095.4,250,238
2024-01,Core Platform,725228.77,706,623
2024-01,Storage Pack,189958.48,223,214
2024-01,Support Plus,191207.98,187,184
2024-02,API Access,174990.58,255,246
2024-02,Analytics Add-on,273258.76,236,224
2024-02,Core Platform,669558.06,759,661
2024-02,Storage Pack,217602.26,232,223
2024-02,Support Plus,64045.78,185,180
2024-03,API Access,224637.84,266,248
2024-03,Analytics Add-on,231646.23,258,245
2024-03,Core Platform,723215.43,851,734
2024-03,Storage Pack,155914.11,227,214
2024-03,Support Plus,125624.53,223,213
2024-04,API Access,190808.63,287,272
2024-04,Analytics Add-on,107129.85,259,250
2024-04,Core Platform,741580.75,831,735
2024-04,Storage Pack,166084.86,228,218
2024-04,Support Plus,182344.62,217,210
2024-05,API Access,325282.93,263,252
2024-05,Analytics Add-on,214745.58,281,274
2024-05,Core Platform,742418.05,895,767
2024-05,Storage Pack,166875.58,234,229
2024-05,Support Plus,122629.23,223,214
2024-06,API Access,214308.08,309,293
2024-06,Analytics Add-on,252938.58,324,302
2024-06,Core Platform,785409.53,881,764
2024-06,Storage Pack,126944.59,258,249
2024-06,Support Plus,302408.19,221,214
2024-07,API Access,193065.2,280,273
2024-07,Analytics Add-on,149203.85,300,284
2024-07,Core Platform,677905.3,894,766
2024-07,Storage Pack,332823.85,265,253
2024-07,Support Plus,329238.22,258,250
2024-08,API Access,219811.2,279,267
2024-08,Analytics Add-on,196660.99,306,288
2024-08,Core Platform,493835.96,927,807
2024-08,Storage Pack,281119.55,287,277
2024-08,Support Plus,145481.98,242,239
2024-09,API Access,259163.36,322,310
2024-09,Analytics Add-on,239180.79,299,290
2024-09,Core Platform,598640.53,962,843
2024-09,Storage Pack,186370.11,294,277
2024-09,Support Plus,138225.62,239,234
2024-10,API Access,297488.7,314,296
2024-10,Analytics Add-on,337704.07,329,312
2024-10,Core Platform,1026954.66,1007,860
2024-10,Storage Pack,114101.31,239,231
2024-10,Support Plus,187644.95,267,260
2024-11,API Access,427370.98,320,307
2024-11,Analytics Add-on,201692.56,344,325
2024-11,Core Platform,564040.57,1011,878
2024-11,Storage Pack,263687.84,274,256
2024-11,Support Plus,203573.62,254,248
2024-12,API Access,263414.4,345,326
2024-12,Analytics Add-on,254627.52,330,322
2024-12,Core Platform,979186.78,1011,894
2024-12,Storage Pack,255447.1,310,298
2024-12,Support Plus,368255.35,288,280
2025-01,API Access,402906.51,328,316
2025-01,Analytics Add-on,344869.22,362,338
2025-01,Core Platform,1009305.74,1106,962
2025-01,Storage Pack,313081.48,316,302
2025-01,Support Plus,159381.3,300,289
2025-02,API Access,267441.39,321,301
2025-02,Analytics Add-on,410257.77,343,322
2025-02,Core Platform,924833.31,1003,889
2025-02,Storage Pack,83777.2,290,277
2025-02,Support Plus,236985.59,256,249
2025-03,API Access,427660.4,395,368
2025-03,Analytics Add-on,307679.36,377,366
2025-03,Core Platform,907382.28,1124,965
2025-03,Storage Pack,457429.93,355,338
2025-03,Support Plus,624915.15,311,299
2025-04,API Access,269631.74,365,341
2025-04,Analytics Add-on,307167.36,380,360
2025-04,Core Platform,950719.12,1123,981
2025-04,Storage Pack,169477.74,332,324
2025-04,Support Plus,265120.14,288,275
2025-05,API Access,328143.85,399,380
2025-05,Analytics Add-on,374283.31,386,369
2025-05,Core Platform,815419.44,1174,1006
2025-05,Storage Pack,274409.91,348,336
2025-05,Support Plus,266698.05,345,333
2025-06,API Access,381690.49,382,365
2025-06,Analytics Add-on,259424.75,359,345
2025-06,Core Platform,1021811.21,1220,1044
2025-06,Storage Pack,239293.99,361,347
2025-06,Support Plus,139525.63,296,283
2025-07,API Access,298769.01,425,397
2025-07,Analytics Add-on,419767.06,387,369
2025-07,Core Platform,1155368.31,1241,1084
2025-07,Storage Pack,239480.75,345,332
2025-07,Support Plus,295789.5,333,323
2025-08,API Access,420160.09,382,368
2025-08,Analytics Add-on,453944.33,446,425
2025-08,Core Platform,970248.79,1289,1127
2025-08,Storage Pack,304667.44,379,361
2025-08,Support Plus,305936.56,344,332
2025-09,API Access,370106.29,379,359
2025-09,Analytics Add-on,542240.25,392,373
2025-09,Core Platform,984881.24,1253,1075
2025-09,Storage Pack,222397.98,324,315
2025-09,Support Plus,135027.81,295,281
2025-10,API Access,537911.27,457,438
2025-10,Analytics Add-on,412935.4,399,380
2025-10,Core Platform,1524401.94,1313,1120
2025-10,Storage Pack,297541.94,381,372
2025-10,Support Plus,304053.5,322,311
2025-11,API Access,256922.67,439,412
2025-11,Analytics Add-on,436868.06,453,434
2025-11,Core Platform,1017694.88,1284,1117
2025-11,Storage Pack,392036.9,358,336
2025-11,Support Plus,268113.21,359,340
2025-12,API Access,330822.41,461,439
2025-12,Analytics Add-on,443609.17,434,414
2025-12,Core Platform,1139202.3,1287,1114
2025-12,Storage Pack,238566.34,395,376
2025-12,Support Plus,228978.0,367,350
