cohort_month,months_since_signup,cohort_size,customers_retained,retention_rate
2022-01,0,93,93,1.0
2022-01,1,93,93,1.0
2022-01,2,93,93,1.0
2022-01,3,93,93,1.0
2022-01,4,93,93,1.0
2022-01,5,93,93,1.0
2022-01,6,93,93,1.0
2022-01,7,93,93,1.0
2022-01,8,93,93,1.0
2022-01,9,93,93,1.0
2022-01,10,93,93,1.0
2022-01,11,93,93,1.0
2022-01,12,93,93,1.0
2022-01,13,93,93,1.0
2022-01,14,93,93,1.0
2022-01,15,93,93,1.0
2022-01,16,93,93,1.0
2022-01,17,93,93,1.0
2022-01,18,93,93,1.0
2022-01,19,93,93,1.0
2022-01,20,93,93,1.0
2022-01,21,93,93,1.0
2022-01,22,93,93,1.0
2022-01,23,93,92,0.9892
2022-01,24,93,92,0.9892
2022-02,0,97,97,1.0
2022-02,1,97,97,1.0
2022-02,2,97,97,1.0
2022-02,3,97,97,1.0
2022-02,4,97,97,1.0
2022-02,5,97,97,1.0
2022-02,6,97,97,1.0
2022-02,7,97,97,1.0
2022-02,8,97,97,1.0
2022-02,9,97,97,1.0
2022-02,10,97,97,1.0
2022-02,11,97,97,1.0
2022-02,12,97,97,1.0
2022-02,13,97,97,1.0
2022-02,14,97,97,1.0
2022-02,15,97,97,1.0
2022-02,16,97,97,1.0
2022-02,17,97,97,1.0
2022-02,18,97,97,1.0
2022-02,19,97,97,1.0
2022-02,20,97,97,1.0
2022-02,21,97,97,1.0
2022-02,22,97,97,1.0
2022-02,23,97,97,1.0
2022-02,24,97,97,1.0
2022-03,0,112,112,1.0
2022-03,1,112,112,1.0
2022-03,2,112,112,1.0
2022-03,3,112,112,1.0
2022-03,4,112,112,1.0
2022-03,5,112,112,1.0
2022-03,6,112,112,1.0
2022-03,7,112,112,1.0
2022-03,8,112,112,1.0
2022-03,9,112,112,1.0
2022-03,10,112,112,1.0
2022-03,11,112,112,1.0
2022-03,12,112,112,1.0
2022-03,13,112,112,1.0
2022-03,14,112,112,1.0
2022-03,15,112,112,1.0
2022-03,16,112,111,0.9911
2022-03,17,112,111,0.9911
2022-03,18,112,111,0.9911
2022-03,19,112,111,0.9911
2022-03,20,112,111,0.9911
2022-03,21,112,111,0.9911
2022-03,22,112,111,0.9911
2022-03,23,112,111,0.9911
2022-03,24,112,111,0.9911
2022-04,0,88,88,1.0
2022-04,1,88,88,1.0
2022-04,2,88,88,1.0
2022-04,3,88,88,1.0
2022-04,4,88,88,1.0
2022-04,5,88,88,1.0
2022-04,6,88,88,1.0
2022-04,7,88,88,1.0
2022-04,8,88,88,1.0
2022-04,9,88,88,1.0
2022-04,10,88,88,1.0
2022-04,11,88,88,1.0
2022-04,12,88,88,1.0
2022-04,13,88,88,1.0
2022-04,14,88,88,1.0
2022-04,15,88,88,1.0
2022-04,16,88,87,0.9886
2022-04,17,88,87,0.9886
2022-04,18,88,87,0.9886
2022-04,19,88,87,0.9886
2022-04,20,88,87,0.9886
2022-04,21,88,87,0.9886
2022-04,22,88,86,0.9773
2022-04,23,88,86,0.9773
2022-04,24,88,86,0.9773
2022-05,0,130,130,1.0
2022-05,1,130,130,1.0
2022-05,2,130,130,1.0
2022-05,3,130,130,1.0
2022-05,4,130,130,1.0
2022-05,5,130,130,1.0
2022-05,6,130,130,1.0
2022-05,7,130,130,1.0
2022-05,8,130,130,1.0
2022-05,9,130,130,1.0
2022-05,10,130,130,1.0
2022-05,11,130,130,1.0
2022-05,12,130,130,1.0
2022-05,13,130,130,1.0
2022-05,14,130,129,0.9923
2022-05,15,130,129,0.9923
2022-05,16,130,128,0.9846
2022-05,17,130,128,0.9846
2022-05,18,130,127,0.9769
2022-05,19,130,127,0.9769
2022-05,20,130,126,0.9692
2022-05,21,130,126,0.9692
2022-05,22,130,125,0.9615
2022-05,23,130,125,0.9615
2022-05,24,130,123,0.9462
2022-06,0,110,110,1.0
2022-06,1,110,110,1.0
2022-06,2,110,110,1.0
2022-06,3,110,110,1.0
2022-06,4,110,110,1.0
2022-06,5,110,110,1.0
2022-06,6,110,110,1.0
2022-06,7,110,110,1.0
2022-06,8,110,110,1.0
2022-06,9,110,110,1.0
2022-06,10,110,110,1.0
2022-06,11,110,110,1.0
2022-06,12,110,110,1.0
2022-06,13,110,110,1.0
2022-06,14,110,110,1.0
2022-06,15,110,110,1.0
2022-06,16,110,110,1.0
2022-06,17,110,110,1.0
2022-06,18,110,110,1.0
2022-06,19,110,110,1.0
2022-06,20,110,110,1.0
2022-06,21,110,110,1.0
2022-06,22,110,110,1.0
2022-06,23,110,110,1.0
2022-06,24,110,110,1.0
2022-07,0,114,114,1.0
2022-07,1,114,114,1.0
2022-07,2,114,114,1.0
2022-07,3,114,114,1.0
2022-07,4,114,114,1.0
2022-07,5,114,114,1.0
2022-07,6,114,114,1.0
2022-07,7,114,114,1.0
2022-07,8,114,114,1.0
