event_id,customer_id,opened_at,resolved_at,sla_due_at,opened_date,status,priority,reason,category,channel,csat,resolved_hours,age_hours,is_open,sla_breach,sla_status,segment,region,plan
E00000001,C000001,2025-07-02 06:51:00,2025-07-02 23:14:32,2025-07-04 06:51:00,2025-07-02,resolved,medium,Bug,Bug,chat,4.0,16.4,16.39,0,False,within_sla,Enterprise,Europe,Business
E00000002,C000001,2025-12-28 15:29:00,2025-12-31 09:34:08,2025-12-31 15:29:00,2025-12-28,resolved,low,Billing,Billing,portal,5.0,66.1,66.09,0,False,within_sla,Enterprise,Europe,Business
E00000003,C000001,2024-05-12 15:20:00,2024-05-12 19:17:56,2024-05-12 23:20:00,2024-05-12,resolved,critical,Bug,Bug,portal,5.0,4.0,3.97,0,False,within_sla,Enterprise,Europe,Business
E00000004,C000001,2024-07-14 03:18:00,2024-07-14 07:40:56,2024-07-16 03:18:00,2024-07-14,resolved,medium,How-to,How-to,portal,3.0,4.4,4.38,0,False,within_sla,Enterprise,Europe,Business
E00000005,C000002,2025-01-24 08:37:00,2025-01-26 06:47:36,2025-01-25 08:37:00,2025-01-24,resolved,high,Billing,Billing,email,2.0,46.2,46.18,0,True,beyond_sla,SMB,APAC,Free
E00000006,C000002,2025-11-23 15:37:00,,2025-11-25 15:37:00,2025-11-23,pending,medium,Bug,Bug,email,,,920.38,1,True,pending_beyond_sla,SMB,APAC,Free
E00000007,C000003,2025-08-10 22:56:00,2025-08-15 12:02:52,2025-08-12 22:56:00,2025-08-10,resolved,medium,Feature Request,Feature Request,chat,2.0,109.1,109.11,0,True,beyond_sla,Startup,North America,Starter
E00000008,C000003,2025-11-29 16:04:00,2025-12-01 02:03:40,2025-11-30 16:04:00,2025-11-29,resolved,high,Feature Request,Feature Request,chat,2.0,34.0,33.99,0,True,beyond_sla,Startup,North America,Starter
E00000009,C000003,2025-11-30 18:26:00,2025-12-02 20:31:23,2025-12-03 18:26:00,2025-11-30,resolved,low,Feature Request,Feature Request,email,3.0,50.1,50.09,0,False,within_sla,Startup,North America,Starter
E00000010,C000003,2025-09-09 20:23:00,2025-09-10 15:59:52,2025-09-11 20:23:00,2025-09-09,resolved,medium,Billing,Billing,portal,5.0,19.6,19.61,0,False,within_sla,Startup,North America,Starter
E00000011,C000003,2025-11-26 13:16:00,2025-11-30 02:44:01,2025-11-28 13:16:00,2025-11-26,resolved,medium,Bug,Bug,phone,2.0,85.5,85.47,0,True,beyond_sla,Startup,North America,Starter
E00000012,C000004,2024-02-16 13:41:00,2024-02-18 08:41:32,2024-02-17 13:41:00,2024-02-16,resolved,high,How-to,How-to,email,1.0,43.0,43.01,0,True,beyond_sla,Startup,Europe,Business
E00000013,C000005,2024-03-03 12:22:00,2024-03-08 04:20:19,2024-03-05 12:22:00,2024-03-03,resolved,medium,Feature Request,Feature Request,chat,1.0,112.0,111.97,0,True,beyond_sla,Mid-Market,Europe,Pro
E00000014,C000006,2025-08-07 12:24:00,2025-08-08 08:44:16,2025-08-09 12:24:00,2025-08-07,resolved,medium,How-to,How-to,chat,5.0,20.3,20.34,0,False,within_sla,Enterprise,APAC,Free
E00000015,C000007,2022-05-05 17:25:00,2022-05-08 20:11:07,2022-05-07 17:25:00,2022-05-05,resolved,medium,Bug,Bug,phone,2.0,74.8,74.77,0,True,beyond_sla,Startup,LATAM,Pro
E00000016,C000007,2024-02-07 10:27:00,2024-02-07 21:04:21,2024-02-08 10:27:00,2024-02-07,resolved,high,How-to,How-to,portal,4.0,10.6,10.62,0,False,within_sla,Startup,LATAM,Pro
E00000017,C000009,2023-04-20 22:00:00,,2023-04-23 22:00:00,2023-04-20,pending,low,Bug,Bug,portal,,,23666.0,1,True,pending_beyond_sla,SMB,Europe,Business
E00000018,C000009,2023-01-06 19:12:00,2023-01-06 23:08:48,2023-01-08 19:12:00,2023-01-06,resolved,medium,Outage,Outage,chat,4.0,3.9,3.95,0,False,within_sla,SMB,Europe,Business
E00000019,C000009,2023-06-10 02:09:00,2023-06-10 18:29:48,2023-06-12 02:09:00,2023-06-10,resolved,medium,Feature Request,Feature Request,chat,4.0,16.3,16.35,0,False,within_sla,SMB,Europe,Business
E00000020,C000009,2025-06-11 23:41:00,2025-06-13 01:05:45,2025-06-13 23:41:00,2025-06-11,resolved,medium,Billing,Billing,portal,3.0,25.4,25.41,0,False,within_sla,SMB,Europe,Business
E00000021,C000010,2023-08-11 17:45:00,,2023-08-13 17:45:00,2023-08-11,escalated,medium,Feature Request,Feature Request,phone,,,20958.25,1,True,pending_beyond_sla,SMB,Europe,Pro
E00000022,C000011,2025-10-20 17:02:00,2025-10-23 15:07:28,2025-10-21 17:02:00,2025-10-20,resolved,high,Billing,Billing,chat,3.0,70.1,70.09,0,True,beyond_sla,SMB,Europe,Free
E00000023,C000011,2025-07-30 09:45:00,2025-08-01 18:20:52,2025-08-02 09:45:00,2025-07-30,resolved,low,Billing,Billing,phone,5.0,56.6,56.6,0,False,within_sla,SMB,Europe,Free
E00000024,C000011,2024-10-29 07:59:00,2024-10-30 12:29:26,2024-11-01 07:59:00,2024-10-29,resolved,low,Bug,Bug,phone,5.0,28.5,28.51,0,False,within_sla,SMB,Europe,Free
E00000025,C000012,2025-12-18 22:21:00,2025-12-21 15:55:42,2025-12-21 22:21:00,2025-12-18,resolved,low,Billing,Billing,email,5.0,65.6,65.58,0,False,within_sla,SMB,Europe,Starter
E00000026,C000013,2024-11-23 01:04:00,2024-11-25 11:30:09,2024-11-26 01:04:00,2024-11-23,resolved,low,Feature Request,Feature Request,phone,5.0,58.4,58.44,0,False,within_sla,Enterprise,North America,Starter
E00000027,C000014,2025-04-15 07:37:00,2025-04-15 09:14:15,2025-04-15 15:37:00,2025-04-15,resolved,critical,How-to,How-to,chat,5.0,1.6,1.62,0,False,within_sla,Enterprise,APAC,Pro
E00000028,C000014,2025-01-16 19:10:00,2025-01-18 15:52:23,2025-01-19 19:10:00,2025-01-16,resolved,low,Billing,Billing,chat,5.0,44.7,44.71,0,False,within_sla,Enterprise,APAC,Pro
E00000029,C000014,2025-06-22 15:03:00,,2025-06-25 15:03:00,2025-06-22,pending,low,How-to,How-to,phone,,,4616.95,1,True,pending_beyond_sla,Enterprise,APAC,Pro
E00000030,C000015,2025-02-19 06:36:00,2025-02-21 01:07:05,2025-02-20 06:36:00,2025-02-19,resolved,high,How-to,How-to,chat,1.0,42.5,42.52,0,True,beyond_sla,Mid-Market,APAC,Pro
E00000031,C000015,2025-08-12 14:39:00,2025-08-14 07:19:52,2025-08-15 14:39:00,2025-08-12,resolved,low,How-to,How-to,chat,3.0,40.7,40.68,0,False,within_sla,Mid-Market,APAC,Pro
E00000032,C000019,2025-08-16 00:39:00,2025-08-16 10:49:36,2025-08-18 00:39:00,2025-08-16,resolved,medium,Feature Request,Feature Request,chat,4.0,10.2,10.18,0,False,within_sla,SMB,North America,Free
E00000033,C000019,2025-11-21 20:56:00,,2025-11-24 20:56:00,2025-11-21,pending,low,Feature Request,Feature Request,chat,,,963.07,1,True,pending_beyond_sla,SMB,North America,Free
E00000034,C000019,2025-06-06 16:07:00,2025-06-07 12:34:44,2025-06-07 00:07:00,2025-06-06,resolved,critical,Bug,Bug,chat,1.0,20.5,20.46,0,True,beyond_sla,SMB,North America,Free
E00000035,C000020,2023-11-26 16:52:00,2023-11-27 10:05:04,2023-11-27 16:52:00,2023-11-26,resolved,high,Feature Request,Feature Request,email,5.0,17.2,17.22,0,False,within_sla,Mid-Market,North America,Starter
E00000036,C000021,2024-06-23 13:34:00,2024-06-24 01:03:11,2024-06-25 13:34:00,2024-06-23,resolved,medium,How-to,How-to,chat,4.0,11.5,11.49,0,False,within_sla,Mid-Market,North America,Starter
E00000037,C000022,2023-11-05 21:50:00,2023-11-08 03:11:46,2023-11-08 21:50:00,2023-11-05,resolved,low,Bug,Bug,chat,5.0,53.4,53.36,0,False,within_sla,SMB,North America,Pro
